company,name,sector,sector_name,scope1,scope2,emissions,market_value,revenues,carbon_footprint,intensity
lw,LAMB WESTON HOLDINGS,30,Consumer Staples,,,,12285.34,3756.5,,
lnc,LINCOLN TIOL,40,Financial,2.91237,11.0972,14.00957,11929.58,16424.0,1.1743556772325596,0.85299378957623
mhk,MOHAWK INDUSTRIES,25,Consumer Discretionary,,,,9959.8,9983.634,,
tap,MOLSON COORS BREWING 'B',30,Consumer Staples,448.04,679.251,1127.291,10079.34,10769.6,111.841747574742,104.67343262516712
mos,MOSAIC,15,Materials,2430.167,1741.674,4171.841,7181.34,9587.3,580.9279326699475,435.14242800371335
nov,TIOL OILWELL VARCO,10,Energy,,,,9313.98,8453.0,,
nbl,NOBLE ENERGY,10,Energy,2282.66,30.803,2313.4629999999997,10972.15,4825.0,210.84864862401625,479.47419689119164
nclh,NORWEGIAN CRUISE LINE HDG.,25,Consumer Discretionary,,,,11942.07,6055.126,,
nrg,NRG ENERGY,55,Util,51000.0,229.0,51229.0,9895.2,9478.0,5177.15660118037,5405.043258071323
pkg,PACKAGING CORP.OF AM.,15,Materials,1556.087,1339.876,2895.9629999999997,10618.72,7014.6,272.722418521253,412.84791720126583
phm,PULTEGROUP,25,Consumer Discretionary,,,,10739.72,10188.331,,
reg,REGENCY CENTERS,60,Real Estate,0.949,32.924,33.873,10191.23,1120.975,3.3237401177286743,30.217444635250562
rol,ROLLINS,20,Industrial,,,,10884.16,1821.565,,
fti,TECHNIPFMC,10,Energy,,,,8896.59,12552.9,,
txt,TEXTRON,20,Industrial,188.546,480.679,669.2249999999999,10137.14,13972.0,66.01714092929564,47.897580876037786
uri,UNITED RENTALS,20,Industrial,329.9110107,41.19100189,371.10201259,12264.7,8047.0,30.257732565003625,46.11681528395676
var,VARIAN MEDICAL SYSTEMS,35,Health Care,19.82,12.666,32.486000000000004,12894.73,3225.1,2.519323785763642,10.072865957644726
wrk,WESTROCK,15,Materials,5185.754,2006.797,7192.5509999999995,10635.57,18289.0,676.2732039749633,393.27196675597355
zion,ZIONS BANCORP.,40,Financial,,,,8831.73,3033.0,,
abmd,ABIOMED,35,Health Care,,,,8089.54,769.432,,
bwa,BORGWARNER,25,Consumer Discretionary,58.928,282.044,340.972,9188.93,10529.6,37.10682310127512,32.38223674213645
cog,CABOT OIL & GAS 'A',10,Energy,,,,6592.06,2188.148,,
ffiv,F5 NETWORKS,45,IT,,,,8721.48,2242.447,,
flir,FLIR SYSTEMS,45,IT,,,,7134.25,1775.686,,
hsic,HENRY SCHEIN,35,Health Care,,,,10098.66,13201.995,,
hii,HNTGTN.INGALLS INDS.,20,Industrial,,,,10411.18,8176.0,,
ipg,INTERPUBLIC GROUP,50,Communication Services,2.2577,20.9515,23.2092,8941.1,9714.4,2.595787990292022,2.3891542452441734
ivz,INVESCO,40,Financial,0.638,11.292,11.93,8038.46,5314.1,1.4841151165770559,2.244970926403342
jnpr,JUNIPER NETWORKS,45,IT,4.133,79.774,83.907,8150.12,4647.5,10.295185837754536,18.054222700376545
kim,KIMCO REALTY,60,Real Estate,2.69687,42.096398,44.793268,8621.98,1164.762,5.19524146425763,38.45701353581247
kss,KOHL'S,25,Consumer Discretionary,38.553,529.17,567.723,7690.61,20229.0,73.82028213626747,28.06480794898413
m,MACY'S,25,Consumer Discretionary,97.837,631.865,729.702,4853.84,25739.0,150.33499250078287,28.350052449590116
myl,MYLAN,35,Health Care,402.0,332.0,734.0,10157.48,11433.9,72.26201774455869,64.19506904905587
nlsn,NIELSEN,20,Industrial,,,,7116.2,6515.0,,
ni,NISOURCE,55,Util,12033.952,48.849,12082.801,9962.41,5114.5,1212.839162411505,2362.459868999902
pki,PERKINELMER,35,Health Care,11.9,21.526,33.426,10649.01,2777.996,3.1388833328168535,12.032414733498536
pnw,PINCLE WEST CAP.,55,Util,10822.462,16.4,10838.862,9638.1,3691.247,1124.5849285647585,2936.368658071378
pvh,PVH,25,Consumer Discretionary,32.689,107.792,140.481,7670.11,9656.8,18.315382699856976,14.547365586943915
rl,RALPH LAUREN CL.A,25,Consumer Discretionary,,,,5756.84,6313.0,,
s,SP-ON,20,Industrial,,,,9346.91,,,
tpr,TAPESTRY,25,Consumer Discretionary,1.06086,50.14,51.20086,7268.14,6027.1,7.044561607233762,8.495107099600139
uaa,UNDER ARMOUR A,25,Consumer Discretionary,,,,3630.41,5193.185,,
whr,WHIRLPOOL,25,Consumer Discretionary,178.859,574.713,753.572,9577.29,21037.0,78.68321832167554,35.82126729096354
alb,ALBEMARLE,15,Materials,,,,7212.37,3374.95,,
aiv,APARTMENT INV.& MAN.'A',60,Real Estate,,,,7593.11,972.41,,
aiz,ASSURANT,40,Financial,1.557,26.9159,28.4729,7909.34,8057.6,3.599908462653015,3.5336700754567114
