,ew,gmv,maxdecor,maxdiv,msr
446,-5.088119629999833,-7.791230161206015,-4.397654005991777,-4.116019670631474,-4.116019670631474
447,-1.6066727782289478,-2.489965303757892,0.05681641436702851,0.023519859453869658,0.023519859453869658
448,7.192828039233742,12.997976697108344,5.798489236564035,5.583312325766807,5.583312325766807
449,-0.06270983211341252,-5.001234872790787,0.22905638938890285,-0.05842119995662947,-0.05842119995662947
450,2.7144606867481618,7.285844273998471,-0.6197250212296196,-0.24332671006521137,-0.24332671006521137
451,0.5518160757699204,0.8723571817971673,1.1012005922760542,0.9574907899147886,0.9574907899147886
452,0.5885394414425102,2.732568614489085,0.07970337178222808,0.2910283007559801,0.2910283007559801
453,-2.3808938967625255,-8.301180872185693,-0.8384171536493925,-0.7604993630273773,-0.7604993630273773
454,-3.4024728030224134,-6.2922351140887525,-2.765552107667989,-2.5172647354262154,-2.5172647354262154
455,0.17145202274447868,4.299612218502424,2.724589493907359,2.6328390218071025,2.6328390218071025
456,0.0,0.0,0.0,0.0,0.0
457,2.9909246682451394,6.920299513323991,2.3060228619853627,2.4530799441316455,2.4530799441316455
458,2.0720352387603898,-0.6835280197960832,3.019767498903816,3.662184711269762,3.662184711269762
459,1.4366851338470572,2.67295845445025,1.3866815185823504,1.3092015800634298,1.3092015800634298
460,1.6892844261675244,3.8697203593880967,0.05696828839766432,0.22715992548844216,0.22715992548844216
461,0.8819622614206738,7.347244095578119,1.2292043636231598,1.190351173071507,1.190351173071507
462,-0.1890268165161042,-4.277445088967278,1.5370868966361342,0.20936873606468737,0.20936873606468737
463,2.5108683608186433,-0.3121444746920763,-2.5331407191144937,-0.7016730635808851,-0.7016730635808851
464,1.3458035155466346,1.553226212550005,-0.0850976912458241,-0.36672615752997834,-0.36672615752997834
465,0.5998453879620704,-5.60354505713286,0.7699459837934287,-0.6424285513109772,-0.6424285513109772
466,-2.439600898564753,-0.945180729503853,-2.6392043099790836,-1.4654924481963616,-1.4654924481963616
467,1.5516551380069368,0.1718994936911772,0.3871337838056112,-0.064840670345967,-0.064840670345967
468,0.0,0.0,0.0,0.0,0.0
469,3.361032502748517,7.736830471909688,1.636764987580516,1.57923157312936,1.57923157312936
470,0.2333946860075273,-1.5358794541909817,-0.4613496269462119,2.588070174406243,2.588070174406243
471,1.1931933638498042,2.6958507220879353,0.28346803114619656,1.198809100551565,1.198809100551565
472,-0.06171736204157585,-0.4194800217480839,-0.3958170537200895,0.8991607113821645,0.8991607113821645
473,0.4521106720461609,2.6639104559476214,-0.05134766952263828,0.9363376969410343,0.9363376969410343
474,1.0893748670854941,0.5122029979698222,-0.2287973894576877,0.03869227946767093,0.03869227946767093
475,1.9412077369543301,2.4325271648476403,-0.43156430818133185,2.1466791300354284,2.1466791300354284
476,-0.07260814992958697,-0.10084302789600676,0.5552154452350986,0.393824537900309,0.393824537900309
477,1.1527397809529758,0.08332863235971355,-0.9477932308897014,-0.46424285004454774,-0.46424285004454774
478,1.6119329648467895,1.428300499361469,2.106575446023786,1.2317614279112639,1.2317614279112639
479,0.3562998966178137,3.5726945018106804,-3.0999459137373084,-2.4112435274038724,-2.4112435274038724
480,0.0,0.0,0.0,0.0,0.0
481,-0.1682496796337447,0.27417938785990237,-1.349090344294852,-1.5757393490403615,-1.5757393490403615
482,1.190555573526453,2.2122328228956794,3.80342253232972,2.2412308947702964,2.2412308947702964
483,-2.981720469084648,-6.8459354474008745,-2.080577782837224,-1.5401187222690786,-1.5401187222690786
484,0.9436050737931452,2.0872760354391238,-0.30792260404556343,-0.5871970627091794,-0.5871970627091794
485,2.486606452914855,1.898967099198111,0.1747240930138691,-0.6856389366532678,-0.6856389366532678
486,1.5005144258954386,3.407098426964561,0.18606973997272136,-0.034329274548196176,-0.034329274548196176
487,-1.964175144086583,-2.4403257889022583,-2.287441251145593,-2.2940925384678925,-2.2940925384678925
488,0.9085985234204761,2.65328000673116,-0.9978732893630852,0.9705413100652112,0.9705413100652112
489,3.2076745560635356,1.147234078486254,3.277112631925628,2.340458937906937,2.340458937906937
490,0.3245204120002365,-1.1008528659468866,2.5101220164380234,2.626418313975774,2.626418313975774
491,1.3669687237635846,1.3781182700213992,0.30076884095263556,-0.3834187133466004,-0.3834187133466004
492,0.0,0.0,0.0,0.0,0.0
493,-0.44649125640088144,0.6142454438572752,-0.05831526119953211,-0.14223838768659097,-0.14223838768659097
494,2.7050741988447657,5.152598382833733,-0.8963850795646705,-0.3324112495890173,-0.3324112495890173
495,-4.115753136699746,-7.452124753045142,-3.6081319212860183,-1.5716269936339688,-1.5716269936339688
496,0.27123945457282983,-1.7799381341054414,1.1739164522833123,1.2952921943551217,1.2952921943551217
497,1.05116541207908,2.3270152691217576,1.260198261785025,0.22835092373596202,0.22835092373596202
498,0.5532351610301336,0.5495888924010377,0.987279041643657,1.1462026751749173,1.1462026751749173
499,2.9513510654162904,4.921761659669555,1.8536209122657181,1.2723552253316646,1.2723552253316646
500,-1.5305091771856618,-1.354137980044918,-2.2597409759124867,0.13679252844854564,0.13679252844854564
501,0.3159776754203889,-1.5592247168193767,-3.9273766039546083,-0.7542115912692646,-0.7542115912692646
502,-0.15346405277006214,2.0752847418392664,1.3982420837309892,0.8174834523715717,0.8174834523715717
503,-6.7927920913791855,-8.492005646240584,-4.394383111609295,-2.824984736362407,-2.824984736362407
504,0.0,0.0,0.0,0.0,0.0
505,2.2716874888536918,5.362308938934148,2.781771979110683,2.925957363282263,2.925957363282263
506,-2.603715976891921,-10.179863730050265,-0.5508362840920987,-1.3861231792544486,-1.3861231792544486
507,5.219938951524998,2.6659643547228544,2.166114799545882,2.803184469563468,2.803184469563468
508,-4.026642233139418,-4.213623813617744,-4.493581052997991,-2.0088349469974323,-2.0088349469974323
509,1.3693431050510723,1.1295436071810379,0.1801116115216326,-1.497139789117836,-1.497139789117836
510,2.7061793830328598,10.08244159762071,2.687932788212967,3.9165796831926025,3.9165796831926025
511,-2.524632321567756,-6.873040058432895,-1.4277709036675676,-1.8140617145454536,-1.8140617145454536
512,-6.085165936935883,-10.255565026400074,-6.521382612736241,-6.9754746078988035,-6.9754746078988035
513,7.211284784678505,3.9551701599576052,7.02217146297662,4.423846165160661,4.423846165160661
514,2.6150337433934854,10.025823023801934,0.28672710212993846,1.1951056249148724,1.1951056249148724
